chamber_name,city,state,website,website_guess,website_source,maps_link,member_directory_url,all_links,phone,email,address,image
Fitzgerald-Ben Hill Chamber of Commerce,"Fitzgerald, GA",GA,http://www.fitzgeraldchamber.org/,,scraped,"https://maps.google.com/?q=121 East Pine Street, Fitzgerald, GA, 31750",,"https://maps.google.com/?q=121 East Pine Street, Fitzgerald, GA, 31750;http://www.fitzgeraldchamber.org/",,,"121 East Pine Street Fitzgerald, GA 31750",
Forsyth County Chamber of Commerce,"Cumming, GA",GA,https://www.focochamber.org/,,scraped,"https://maps.google.com/?q=212 Webb St, Cumming, GA, 30040-3091",,"https://maps.google.com/?q=212 Webb St, Cumming, GA, 30040-3091;https://www.focochamber.org/",,,"212 Webb St Cumming, GA 30040-3091",
Forsyth-Monroe County Chamber of Commerce,"Forsyth, GA",GA,http://www.forsyth-monroechamber.com,,scraped,"https://maps.google.com/?q=P.O Box 5795, Forsyth, GA, 31029-5795",,"https://maps.google.com/?q=P.O Box 5795, Forsyth, GA, 31029-5795;http://www.forsyth-monroechamber.com",,,"5795 Forsyth, GA 31029-5795",
Franklin County Chamber of Commerce (Carnesville GA),"Carnesville, GA",GA,http://www.franklin-county.com,,scraped,"https://maps.google.com/?q=P.O Box 151, Carnesville, GA, 30521-0151",,"https://maps.google.com/?q=P.O Box 151, Carnesville, GA, 30521-0151;http://www.franklin-county.com",,,"151 Carnesville, GA 30521-0151",
Georgia Chamber of Commerce,"Atlanta, GA",GA,http://www.gachamber.com,,scraped,"https://maps.google.com/?q=270 Peachtree St NW, Atlanta, GA, 30303-1283",,"https://maps.google.com/?q=270 Peachtree St NW, Atlanta, GA, 30303-1283;http://www.gachamber.com",,,"270 Peachtree St NW Atlanta, GA 30303-1283",
Gilmer Chamber,"East Ellijay, GA",GA,http://www.gilmerchamber.com,,scraped,"https://maps.google.com/?q=696 1st Ave, East Ellijay, GA, 30540-8107",,"https://maps.google.com/?q=696 1st Ave, East Ellijay, GA, 30540-8107;http://www.gilmerchamber.com",,,"696 1st Ave East Ellijay, GA 30540-8107",
Gordon County Chamber of Commerce,"Calhoun, GA",GA,http://www.gordoncountychamber.com/,,scraped,"https://maps.google.com/?q=300 S Wall St, Calhoun, GA, 30701-2430",,"https://maps.google.com/?q=300 S Wall St, Calhoun, GA, 30701-2430;http://www.gordoncountychamber.com/",,,"300 S Wall St Calhoun, GA 30701-2430",
Greater Augusta Black Chamber of Commerce,"Augusta, GA",GA,,,none,"https://maps.google.com/?q=P.O Box 1805, Augusta, GA, 30903-1805",,"https://maps.google.com/?q=P.O Box 1805, Augusta, GA, 30903-1805",,,"1805 Augusta, GA 30903-1805",
Greater Columbus Georgia Chamber of Commerce,"Columbus, GA",GA,http://www.columbusgachamber.com,,scraped,"https://maps.google.com/?q=118 W 11th St, Columbus, GA, 31901-2416",,"https://maps.google.com/?q=118 W 11th St, Columbus, GA, 31901-2416;http://www.columbusgachamber.com",,,"118 W 11th St Columbus, GA 31901-2416",
Greater Dalton Chamber of Commerce,"Dalton, GA",GA,http://www.daltonchamber.org,,scraped,"https://maps.google.com/?q=100 S Hamilton St, Dalton, GA, 30720-4216",,"https://maps.google.com/?q=100 S Hamilton St, Dalton, GA, 30720-4216;http://www.daltonchamber.org",,,"100 S Hamilton St Dalton, GA 30720-4216",
Greater Eastside Chamber of Commerce,"Snellville, GA",GA,https://www.mygecc.org/,,scraped,"https://maps.google.com/?q=2245 Wisteria Dr, Snellville, GA, 30078-2655",,"https://maps.google.com/?q=2245 Wisteria Dr, Snellville, GA, 30078-2655;https://www.mygecc.org/",,,"2245 Wisteria Dr Snellville, GA 30078-2655",
Greater Hall Chamber of Commerce,"Gainesville, GA",GA,http://www.ghcc.com,,scraped,"https://maps.google.com/?q=P.O Box 374, Gainesville, GA, 30503-0374",,"https://maps.google.com/?q=P.O Box 374, Gainesville, GA, 30503-0374;http://www.ghcc.com",,,"374 Gainesville, GA 30503-0374",
Greater Haralson Chamber of Commerce,"Waco, GA",GA,http://www.haralson.org,,scraped,"https://maps.google.com/?q=70 Murphy Campus Blvd, Waco, GA, 30182-2442",,"https://maps.google.com/?q=70 Murphy Campus Blvd, Waco, GA, 30182-2442;http://www.haralson.org",,,"70 Murphy Campus Blvd Waco, GA 30182-2442",
Greater Helen Area Chamber of Commerce,"Helen, GA",GA,http://www.helenchamber.com,,scraped,"https://maps.google.com/?q=P.O Box 192, Helen, GA, 30545-0192",,"https://maps.google.com/?q=P.O Box 192, Helen, GA, 30545-0192;http://www.helenchamber.com",,,"192 Helen, GA 30545-0192",
Greater Lithonia Chamber of Commerce,"Lithonia, GA",GA,https://www.greaterlithoniachamber.com/,,scraped,"https://maps.google.com/?q=P.O Box 57, Lithonia, GA, 30058-0057",,"https://maps.google.com/?q=P.O Box 57, Lithonia, GA, 30058-0057;https://www.greaterlithoniachamber.com/",,,"57 Lithonia, GA 30058-0057",
Greater Macon Chamber of Commerce,"Macon, GA",GA,https://www.maconchamber.com/,,scraped,"https://maps.google.com/?q=338 Poplar St, Macon, GA, 31201-3334",,"https://maps.google.com/?q=338 Poplar St, Macon, GA, 31201-3334;https://www.maconchamber.com/",,,"338 Poplar St Macon, GA 31201-3334",
Greater North Fulton Chamber of Commerce,"Alpharetta, GA",GA,http://www.gnfcc.com,,scraped,"https://maps.google.com/?q=10000 Avalon Blvd, Alpharetta, GA, 30009-2529",,"https://maps.google.com/?q=10000 Avalon Blvd, Alpharetta, GA, 30009-2529;http://www.gnfcc.com",,,"10000 Avalon Blvd Alpharetta, GA 30009-2529",
Greater Perimeter Chamber,"Sandy Springs, GA",GA,https://greaterperimeterchamber.com/,,scraped,"https://maps.google.com/?q=1000 Abernathy Rd, Sandy Springs, GA, 30328-5602",,"https://maps.google.com/?q=1000 Abernathy Rd, Sandy Springs, GA, 30328-5602;https://greaterperimeterchamber.com/",,,"1000 Abernathy Rd Sandy Springs, GA 30328-5602",
Greater Tattnall Chamber of Commerce,"Reidsville, GA",GA,http://www.tattnall.com,,scraped,"https://maps.google.com/?q=P.O Box 759, Reidsville, GA, 30453-0759",,"https://maps.google.com/?q=P.O Box 759, Reidsville, GA, 30453-0759;http://www.tattnall.com",,,"759 Reidsville, GA 30453-0759",
Greater Vidalia Chamber,"Vidalia, GA",GA,https://www.greatervidaliachamber.com/,,scraped,"https://maps.google.com/?q=208 East 1st Street, Vidalia, GA, 30474",,"https://maps.google.com/?q=208 East 1st Street, Vidalia, GA, 30474;https://www.greatervidaliachamber.com/",,,"208 East 1st Street Vidalia, GA 30474",
Greene County Chamber of Commerce,"Greensboro, GA",GA,https://chambergreene.org/,,scraped,"https://maps.google.com/?q=P.O Box 780, Greensboro, GA, 30642-0780",,"https://maps.google.com/?q=P.O Box 780, Greensboro, GA, 30642-0780;https://chambergreene.org/",,,"780 Greensboro, GA 30642-0780",
Griffin-Spalding Chamber of Commerce,"Griffin, GA",GA,http://www.griffinchamber.com/,,scraped,"https://maps.google.com/?q=143 N Hill St, Griffin, GA, 30223-3340",,"https://maps.google.com/?q=143 N Hill St, Griffin, GA, 30223-3340;http://www.griffinchamber.com/",,,"143 N Hill St Griffin, GA 30223-3340",
Gwinnett Black Chamber of Commerce,"Lilburn, GA",GA,https://blackchambergwinnett.com/,,scraped,"https://maps.google.com/?q=P.O Box 1905, Lilburn, GA, 30048-1905",,"https://maps.google.com/?q=P.O Box 1905, Lilburn, GA, 30048-1905;https://blackchambergwinnett.com/",,,"1905 Lilburn, GA 30048-1905",
Gwinnett Chamber of Commerce,"Duluth, GA",GA,http://www.gwinnettchamber.org,,scraped,"https://maps.google.com/?q=6500 Sugarloaf Pkwy, Duluth, GA, 30097-7501",,"https://maps.google.com/?q=6500 Sugarloaf Pkwy, Duluth, GA, 30097-7501;http://www.gwinnettchamber.org",,,"6500 Sugarloaf Pkwy Duluth, GA 30097-7501",
Habersham County Chamber of Commerce,"Cornelia, GA",GA,http://www.habershamchamber.com/,,scraped,"https://maps.google.com/?q=668 441 Business Hwy, Cornelia, GA, 30531-2183",,"https://maps.google.com/?q=668 441 Business Hwy, Cornelia, GA, 30531-2183;http://www.habershamchamber.com/",,,"668 441 Business Hwy Cornelia, GA 30531-2183",
Harris County Chamber of Commerce,"Hamilton, GA",GA,http://www.harriscountychamber.org,,scraped,"https://maps.google.com/?q=159 S. Old College Street, Hamilton, GA, 31811-0426",,"https://maps.google.com/?q=159 S. Old College Street, Hamilton, GA, 31811-0426;http://www.harriscountychamber.org",,,"159 S. Old College Street Hamilton, GA 31811-0426",
Hart County Chamber of Commerce,"Hartwell, GA",GA,http://www.hart-chamber.org,,scraped,"https://maps.google.com/?q=10 Carolina Street, Hartwell, GA, 30643",,"https://maps.google.com/?q=10 Carolina Street, Hartwell, GA, 30643;http://www.hart-chamber.org",,,"10 Carolina Street Hartwell, GA 30643",
Hawkinsville-Pulaski County Chamber of Commerce,"Hawkinsville, GA",GA,https://hawkinsvillechamber.org/,,scraped,"https://maps.google.com/?q=56 Broad St, Hawkinsville, GA, 31036-4814",,"https://maps.google.com/?q=56 Broad St, Hawkinsville, GA, 31036-4814;https://hawkinsvillechamber.org/",,,"56 Broad St Hawkinsville, GA 31036-4814",
Hazlehurst-Jeff Davis County Chamber of Commerce,"Hazlehurst, GA",GA,http://www.hazlehurst-jeffdavis.com,,scraped,"https://maps.google.com/?q=25 E Coffee St, Hazlehurst, GA, 31539-6141",,"https://maps.google.com/?q=25 E Coffee St, Hazlehurst, GA, 31539-6141;http://www.hazlehurst-jeffdavis.com",,,"25 E Coffee St Hazlehurst, GA 31539-6141",
Heard County Chamber of Commerce,"Franklin, GA",GA,http://heardchamber.com,,scraped,"https://maps.google.com/?q=103 Main Street, Franklin, GA, 30217-8003",,"https://maps.google.com/?q=103 Main Street, Franklin, GA, 30217-8003;http://heardchamber.com",,,"103 Main Street Franklin, GA 30217-8003",
Henry County Chamber of Commerce,"McDonough, GA",GA,http://www.henrycounty.com/,,scraped,"https://maps.google.com/?q=1709 Highway 20 W, McDonough, GA, 30253-7313",,"https://maps.google.com/?q=1709 Highway 20 W, McDonough, GA, 30253-7313;http://www.henrycounty.com/",,,"1709 Highway 20 W McDonough, GA 30253-7313",
Homerville-Clinch County Chamber of Commerce,"Homerville, GA",GA,,,none,"https://maps.google.com/?q=101 S College St, Homerville, GA, 31634-3401",,"https://maps.google.com/?q=101 S College St, Homerville, GA, 31634-3401",,,"101 S College St Homerville, GA 31634-3401",
Imagine Thomasville,"Thomasville, GA",GA,http://imaginethomasville.com,,scraped,"https://maps.google.com/?q=401 S Broad St, Thomasville, GA, 31792-5548",,"https://maps.google.com/?q=401 S Broad St, Thomasville, GA, 31792-5548;http://imaginethomasville.com",,,"401 S Broad St Thomasville, GA 31792-5548",
International Christian CoC-GA,"Alpharetta, GA",GA,,,none,"https://maps.google.com/?q=1830 Valley Brook Dr, Alpharetta, GA, 30005-8304",,"https://maps.google.com/?q=1830 Valley Brook Dr, Alpharetta, GA, 30005-8304",,,"1830 Valley Brook Dr Alpharetta, GA 30005-8304",
Jackson County Area Chamber of Commerce,"Jefferson, GA",GA,http://www.jacksoncountyga.com,,scraped,"https://maps.google.com/?q=270 Athens St, Jefferson, GA, 30549-1404",,"https://maps.google.com/?q=270 Athens St, Jefferson, GA, 30549-1404;http://www.jacksoncountyga.com",,,"270 Athens St Jefferson, GA 30549-1404",
Jefferson County Chamber of Commerce,"Louisville, GA",GA,http://jeffersoncounty.org,,scraped,"https://maps.google.com/?q=P.O Box 630, Louisville, GA, 30434-0630",,"https://maps.google.com/?q=P.O Box 630, Louisville, GA, 30434-0630;http://jeffersoncounty.org",,,"630 Louisville, GA 30434-0630",
Jenkins County Chamber of Commerce,"Millen, GA",GA,http://www.jenkinscountyga.com,,scraped,"https://maps.google.com/?q=548 Cotton Ave, Millen, GA, 30442-1623",,"https://maps.google.com/?q=548 Cotton Ave, Millen, GA, 30442-1623;http://www.jenkinscountyga.com",,,"548 Cotton Ave Millen, GA 30442-1623",
Johns Creek Chamber of Commerce,"Johns Creek, GA",GA,http://www.johnscreekchamber.com,,scraped,"https://maps.google.com/?q=10475 Medlock Bridge Rd, Johns Creek, GA, 30097-4433",,"https://maps.google.com/?q=10475 Medlock Bridge Rd, Johns Creek, GA, 30097-4433;http://www.johnscreekchamber.com",,,"10475 Medlock Bridge Rd Johns Creek, GA 30097-4433",
Jones County-Gray Chamber of Commerce,"Gray, GA",GA,http://www.jonescounty.org,,scraped,"https://maps.google.com/?q=161 W Clinton St, Gray, GA, 31032-5301",,"https://maps.google.com/?q=161 W Clinton St, Gray, GA, 31032-5301;http://www.jonescounty.org",,,"161 W Clinton St Gray, GA 31032-5301",
Korean American Chamber of Commerce USA,"Duluth, GA",GA,http://www.kaccusa.us,,scraped,"https://maps.google.com/?q=2730 Peachtree Industrial Blvd., Ste. 105 PMB 1235, Duluth, GA, 30097",,"https://maps.google.com/?q=2730 Peachtree Industrial Blvd., Ste. 105 PMB 1235, Duluth, GA, 30097;http://www.kaccusa.us",,,"2730 Peachtree Industrial Blvd., Ste. 105 PMB 1235 Duluth, GA 30097",
LaGrange-Troup County Chamber of Commerce,"Lagrange, GA",GA,http://www.lagrangechamber.com,,scraped,"https://maps.google.com/?q=111 Bull St, Lagrange, GA, 30240-3204",,"https://maps.google.com/?q=111 Bull St, Lagrange, GA, 30240-3204;http://www.lagrangechamber.com",,,"111 Bull St Lagrange, GA 30240-3204",
Lake Park Area CoC and Visitors Center,"Lake Park, GA",GA,http://www.lakeparkga.com,,scraped,"https://maps.google.com/?q=P.O Box 278, Lake Park, GA, 31636-0278",,"https://maps.google.com/?q=P.O Box 278, Lake Park, GA, 31636-0278;http://www.lakeparkga.com",,,"278 Lake Park, GA 31636-0278",
Lakeland-Lanier County Chamber of Commerce,"Lakeland, GA",GA,http://www.lakelandchamber.org,,scraped,"https://maps.google.com/?q=8 S Valdosta Rd, Lakeland, GA, 31635-6653",,"https://maps.google.com/?q=8 S Valdosta Rd, Lakeland, GA, 31635-6653;http://www.lakelandchamber.org",,,"8 S Valdosta Rd Lakeland, GA 31635-6653",
Lavonia Chamber of Commerce,"Lavonia, GA",GA,http://www.lavoniachamber.org,,scraped,"https://maps.google.com/?q=P.O Box 763, Lavonia, GA, 30553-0763",,"https://maps.google.com/?q=P.O Box 763, Lavonia, GA, 30553-0763;http://www.lavoniachamber.org",,,"763 Lavonia, GA 30553-0763",
Lee County Chamber of Commerce,"Leesburg, GA",GA,http://www.leechamber.net,,scraped,"https://maps.google.com/?q=106 Walnut Ave N, Leesburg, GA, 31763-4370",,"https://maps.google.com/?q=106 Walnut Ave N, Leesburg, GA, 31763-4370;http://www.leechamber.net",,,"106 Walnut Ave N Leesburg, GA 31763-4370",
Liberia Chamber of Commerce in the Americas,"Lawrenceville, GA",GA,https://libchamberusa.org/,,scraped,"https://maps.google.com/?q=447 Waterbury Dr, Lawrenceville, GA, 30046-3322",,"https://maps.google.com/?q=447 Waterbury Dr, Lawrenceville, GA, 30046-3322;https://libchamberusa.org/",,,"447 Waterbury Dr Lawrenceville, GA 30046-3322",
Liberty County Chamber of Commerce,"Hinesville, GA",GA,http://www.libertycounty.org/,,scraped,"https://maps.google.com/?q=208 E Court St, Hinesville, GA, 31313-3640",,"https://maps.google.com/?q=208 E Court St, Hinesville, GA, 31313-3640;http://www.libertycounty.org/",,,"208 E Court St Hinesville, GA 31313-3640",
Lincoln County Chamber of Commerce,"Lincolnton, GA",GA,http://www.lincolngachamber.org,,scraped,"https://maps.google.com/?q=P.O Box 810, Lincolnton, GA, 30817-0810",,"https://maps.google.com/?q=P.O Box 810, Lincolnton, GA, 30817-0810;http://www.lincolngachamber.org",,,"810 Lincolnton, GA 30817-0810",
Long County Chamber of Commerce,"Ludowici, GA",GA,http://www.longcountychamber.com,,scraped,"https://maps.google.com/?q=P.O Box 400, Ludowici, GA, 31316-0400",,"https://maps.google.com/?q=P.O Box 400, Ludowici, GA, 31316-0400;http://www.longcountychamber.com",,,"400 Ludowici, GA 31316-0400",
Macon County Chamber of Commerce,"Montezuma, GA",GA,http://www.maconchamber.com,,scraped,"https://maps.google.com/?q=109 N Dooly St, Montezuma, GA, 31063-1507",,"https://maps.google.com/?q=109 N Dooly St, Montezuma, GA, 31063-1507;http://www.maconchamber.com",,,"109 N Dooly St Montezuma, GA 31063-1507",
Madison County Chamber of Commerce,"Danielsville, GA",GA,http://www.madisoncountyga.org,,scraped,"https://maps.google.com/?q=60 General Daniels Avenue North, Danielsville, GA, 30633",,"https://maps.google.com/?q=60 General Daniels Avenue North, Danielsville, GA, 30633;http://www.madisoncountyga.org",,,"60 General Daniels Avenue North Danielsville, GA 30633",
Madison-Morgan Chamber of Commerce,"Madison, GA",GA,http://www.madisonga.org,,scraped,"https://maps.google.com/?q=285 N Main St, Madison, GA, 30650-1312",,"https://maps.google.com/?q=285 N Main St, Madison, GA, 30650-1312;http://www.madisonga.org",,,"285 N Main St Madison, GA 30650-1312",
Meriwether County Chamber of Commerce,"Warm Springs, GA",GA,http://www.meriwethercountychamber.org,,scraped,"https://maps.google.com/?q=P.O Box 9, Warm Springs, GA, 31830-0009",,"https://maps.google.com/?q=P.O Box 9, Warm Springs, GA, 31830-0009;http://www.meriwethercountychamber.org",,,"9 Warm Springs, GA 31830-0009",
Metro Atlanta Chamber,"Atlanta, GA",GA,http://www.metroatlantachamber.com/,,scraped,"https://maps.google.com/?q=191 Peachtree St NE, Atlanta, GA, 30303-1740",,"https://maps.google.com/?q=191 Peachtree St NE, Atlanta, GA, 30303-1740;http://www.metroatlantachamber.com/",,,"191 Peachtree St NE Atlanta, GA 30303-1740",
Metropolitan Savannah Hispanic Chamber of Commerce,"Savannah, GA",GA,http://www.msavhcc.org/,,scraped,"https://maps.google.com/?q=P.O Box 8968, Savannah, GA, 31412-8968",,"https://maps.google.com/?q=P.O Box 8968, Savannah, GA, 31412-8968;http://www.msavhcc.org/",,,"8968 Savannah, GA 31412-8968",
Metter-Candler Chamber of Commerce,"Metter, GA",GA,https://everythingsbetterinmetter.com/,,scraped,"https://maps.google.com/?q=11 N Kennedy St, Metter, GA, 30439-4437",,"https://maps.google.com/?q=11 N Kennedy St, Metter, GA, 30439-4437;https://everythingsbetterinmetter.com/",,,"11 N Kennedy St Metter, GA 30439-4437",
Milledgeville-Baldwin County Chamber of Commerce,"Milledgeville, GA",GA,http://www.milledgevillega.com,,scraped,"https://maps.google.com/?q=130 S Jefferson St SE, Milledgeville, GA, 31061-3420",,"https://maps.google.com/?q=130 S Jefferson St SE, Milledgeville, GA, 31061-3420;http://www.milledgevillega.com",,,"130 S Jefferson St SE Milledgeville, GA 31061-3420",
Monticello-Jasper County Chamber of Commerce,"Monticello, GA",GA,http://www.historicmonticello.com,,scraped,"https://maps.google.com/?q=119 W Washington St, Monticello, GA, 31064-1239",,"https://maps.google.com/?q=119 W Washington St, Monticello, GA, 31064-1239;http://www.historicmonticello.com",,,"119 W Washington St Monticello, GA 31064-1239",
Moultrie-Colquitt County Chamber of Commerce,"Moultrie, GA",GA,http://www.moultriechamber.com,,scraped,"https://maps.google.com/?q=116 1st Ave SE, Moultrie, GA, 31768-4752",,"https://maps.google.com/?q=116 1st Ave SE, Moultrie, GA, 31768-4752;http://www.moultriechamber.com",,,"116 1st Ave SE Moultrie, GA 31768-4752",
Murray County Chamber of Commerce,"Chatsworth, GA",GA,http://www.murraycountychamber.org/,,scraped,"https://maps.google.com/?q=126 N 3rd Ave, Chatsworth, GA, 30705-2942",,"https://maps.google.com/?q=126 N 3rd Ave, Chatsworth, GA, 30705-2942;http://www.murraycountychamber.org/",,,"126 N 3rd Ave Chatsworth, GA 30705-2942",
Nashville-Berrien Chamber of Commerce,"Nashville, GA",GA,http://www.berrienchamber.com,,scraped,"https://maps.google.com/?q=201 N Jefferson St, Nashville, GA, 31639-1941",,"https://maps.google.com/?q=201 N Jefferson St, Nashville, GA, 31639-1941;http://www.berrienchamber.com",,,"201 N Jefferson St Nashville, GA 31639-1941",
Newnan-Coweta Chamber of Commerce,"Newnan, GA",GA,http://www.newnam-cowetachamber.org,,scraped,"https://maps.google.com/?q=23 Bullsboro Dr, Newnan, GA, 30263-1570",,"https://maps.google.com/?q=23 Bullsboro Dr, Newnan, GA, 30263-1570;http://www.newnam-cowetachamber.org",,,"23 Bullsboro Dr Newnan, GA 30263-1570",
Newton Chamber of Commerce,"Covington, GA",GA,http://www.newtonchamber.com,,scraped,"https://maps.google.com/?q=2101 Clark St SW, Covington, GA, 30014-2315",,"https://maps.google.com/?q=2101 Clark St SW, Covington, GA, 30014-2315;http://www.newtonchamber.com",,,"2101 Clark St SW Covington, GA 30014-2315",
North Bryan County Chamber of Commerce,"Pembroke, GA",GA,http://www.bryancounty.org,,scraped,"https://maps.google.com/?q=P.O Box 916, Pembroke, GA, 31321-0916",,"https://maps.google.com/?q=P.O Box 916, Pembroke, GA, 31321-0916;http://www.bryancounty.org",,,"916 Pembroke, GA 31321-0916",
Ocilla-Irwin Chamber of Commerce,"Ocilla, GA",GA,,,none,"https://maps.google.com/?q=P.O Box 104, Ocilla, GA, 31774-0104",,"https://maps.google.com/?q=P.O Box 104, Ocilla, GA, 31774-0104",,,"104 Ocilla, GA 31774-0104",
Oconee County Chamber of Commerce,"Watkinsville, GA",GA,https://www.oconeechamber.org/,,scraped,"https://maps.google.com/?q=P.O Box 348, Watkinsville, GA, 30677-0009",,"https://maps.google.com/?q=P.O Box 348, Watkinsville, GA, 30677-0009;https://www.oconeechamber.org/",,,"348 Watkinsville, GA 30677-0009",
Oglethorpe County Chamber of Commerce,"Crawford, GA",GA,,,none,"https://maps.google.com/?q=P.O Box 56, Crawford, GA, 30630-0056",,"https://maps.google.com/?q=P.O Box 56, Crawford, GA, 30630-0056",,,"56 Crawford, GA 30630-0056",
Pakistan International Chamber Of Commerce,"Snellville, GA",GA,,,none,"https://maps.google.com/?q=2495 Eastgate Pl, Snellville, GA, 30078-6145",,"https://maps.google.com/?q=2495 Eastgate Pl, Snellville, GA, 30078-6145",,,"2495 Eastgate Pl Snellville, GA 30078-6145",
Paulding County Chamber of Commerce,"Dallas, GA",GA,http://www.pauldingchamber.org,,scraped,"https://maps.google.com/?q=455 Jimmy Campbell Pkwy, Dallas, GA, 30132-5500",,"https://maps.google.com/?q=455 Jimmy Campbell Pkwy, Dallas, GA, 30132-5500;http://www.pauldingchamber.org",,,"455 Jimmy Campbell Pkwy Dallas, GA 30132-5500",
Peach Regional Chamber of Commerce,"Fort Valley, GA",GA,http://www.peachchamber.com/,,scraped,"https://maps.google.com/?q=425 James E Khoury DriveUnit B, Fort Valley, GA, 31030-3095",,"https://maps.google.com/?q=425 James E Khoury DriveUnit B, Fort Valley, GA, 31030-3095;http://www.peachchamber.com/",,,"425 James E Khoury DriveUnit B Fort Valley, GA 31030-3095",
Pelham Chamber of Commerce,"Pelham, GA",GA,http://www.pelhamchamber.org,,scraped,"https://maps.google.com/?q=128 W Railroad St S, Pelham, GA, 31779-1600",,"https://maps.google.com/?q=128 W Railroad St S, Pelham, GA, 31779-1600;http://www.pelhamchamber.org",,,"128 W Railroad St S Pelham, GA 31779-1600",
Perry Area Chamber Of Commerce,"Perry, GA",GA,,,none,"https://maps.google.com/?q=900 Carroll St, Perry, GA, 31069-3314",,"https://maps.google.com/?q=900 Carroll St, Perry, GA, 31069-3314",,,"900 Carroll St Perry, GA 31069-3314",
Perry Chamber of Commerce,"Perry, GA",GA,http://www.perrygachamber.com/,,scraped,"https://maps.google.com/?q=900 Carroll St, Perry, GA, 31069-3314",,"https://maps.google.com/?q=900 Carroll St, Perry, GA, 31069-3314;http://www.perrygachamber.com/",,,"900 Carroll St Perry, GA 31069-3314",
Pickens County Chamber of Commerce,"Jasper, GA",GA,http://www.pickenschamber.com,,scraped,"https://maps.google.com/?q=500 Veterans Memorial Blvd, Jasper, GA, 30143-1521",,"https://maps.google.com/?q=500 Veterans Memorial Blvd, Jasper, GA, 30143-1521;http://www.pickenschamber.com",,,"500 Veterans Memorial Blvd Jasper, GA 30143-1521",
Pierce County Chamber of Commerce,"Blackshear, GA",GA,http://www.pcgeorgia.com,,scraped,"https://maps.google.com/?q=200 SW Central Ave, Blackshear, GA, 31516-2262",,"https://maps.google.com/?q=200 SW Central Ave, Blackshear, GA, 31516-2262;http://www.pcgeorgia.com",,,"200 SW Central Ave Blackshear, GA 31516-2262",
Pike County Chamber of Commerce,"Zebulon, GA",GA,http://pikecountygachamber.com/,,scraped,"https://maps.google.com/?q=P.O Box 1147, Zebulon, GA, 30295-1147",,"https://maps.google.com/?q=P.O Box 1147, Zebulon, GA, 30295-1147;http://pikecountygachamber.com/",,,"1147 Zebulon, GA 30295-1147",
Pine Mountain Chamber of Commerce,"Pine Mountain, GA",GA,,,none,"https://maps.google.com/?q=P.O Box 483, Pine Mountain, GA, 31822-0483",,"https://maps.google.com/?q=P.O Box 483, Pine Mountain, GA, 31822-0483",,,"483 Pine Mountain, GA 31822-0483",
Polk County Chamber of Commerce,"Rockmart, GA",GA,https://www.choosepolk.com/chamber/,,scraped,"https://maps.google.com/?q=133 S Marble St, Rockmart, GA, 30153-2655",,"https://maps.google.com/?q=133 S Marble St, Rockmart, GA, 30153-2655;https://www.choosepolk.com/chamber/",,,"133 S Marble St Rockmart, GA 30153-2655",
Polk County Chamber of Commerce In Cedartown,"Cedartown, GA",GA,http://www.polkgeorgia.com,,scraped,"https://maps.google.com/?q=609 Main St, Cedartown, GA, 30125-3661",,"https://maps.google.com/?q=609 Main St, Cedartown, GA, 30125-3661;http://www.polkgeorgia.com",,,"609 Main St Cedartown, GA 30125-3661",
Pooler Chamber of Commerce,"Pooler, GA",GA,https://www.poolerchamber.com/,,scraped,"https://maps.google.com/?q=305 West Collins Street, Pooler, GA, 31322",,"https://maps.google.com/?q=305 West Collins Street, Pooler, GA, 31322;https://www.poolerchamber.com/",,,"305 West Collins Street Pooler, GA 31322",
Port Wentworth Chamber of Commerce,"Port Wentworth, GA",GA,http://www.portwentworthga.com,,scraped,"https://maps.google.com/?q=P.O Box 4186, Port Wentworth, GA, 31407-4186",,"https://maps.google.com/?q=P.O Box 4186, Port Wentworth, GA, 31407-4186;http://www.portwentworthga.com",,,"4186 Port Wentworth, GA 31407-4186",
Quitman-Brooks County Chamber of Commerce,"Quitman, GA",GA,http://www.qbcchamber.com/,,scraped,"https://maps.google.com/?q=P.O Box 151, Quitman, GA, 31643-0151",,"https://maps.google.com/?q=P.O Box 151, Quitman, GA, 31643-0151;http://www.qbcchamber.com/",,,"151 Quitman, GA 31643-0151",
RPB Lightyear Alliance,"Stone Mountain, GA",GA,,,none,"https://maps.google.com/?q=448 Registry Blf, Stone Mountain, GA, 30087-6602",,"https://maps.google.com/?q=448 Registry Blf, Stone Mountain, GA, 30087-6602",,,"448 Registry Blf Stone Mountain, GA 30087-6602",
Rabun County Chamber of Commerce,"Clayton, GA",GA,https://rabunchamber.com/,,scraped,"https://maps.google.com/?q=10 Seed Tick Rd, Clayton, GA, 30525-5919",,"https://maps.google.com/?q=10 Seed Tick Rd, Clayton, GA, 30525-5919;https://rabunchamber.com/",,,"10 Seed Tick Rd Clayton, GA 30525-5919",
Richmond Hill-Bryan County Chamber of Commerce,"Richmond Hill, GA",GA,http://www.rhbcchamber.org,,scraped,"https://maps.google.com/?q=2591 US Highway 17, Richmond Hill, GA, 31324-3864",,"https://maps.google.com/?q=2591 US Highway 17, Richmond Hill, GA, 31324-3864;http://www.rhbcchamber.org",,,"2591 US Highway 17 Richmond Hill, GA 31324-3864",
